res_ab,pop,mut,repl,upd,dominant_scf,peak_by_dominant,entropy
100k,200,h,1,100000,18.350000,2,127.374028
100k,200,h,2,100000,22.390000,3,137.502420
100k,200,h,3,100000,15.050000,-1,48.223217
100k,200,h,4,100000,8.760000,-1,151.404296
100k,200,h,5,100000,10.460000,1,160.737499
100k,200,h,6,100000,5.790000,-1,139.188014
100k,200,h,7,100000,13.250000,-1,137.964205
100k,200,h,8,100000,21.770000,3,133.786758
100k,200,h,9,100000,3.190000,0,136.431543
100k,200,h,10,100000,3.490000,0,124.245558
100k,200,h,11,100000,5.750000,-1,143.088994
100k,200,h,12,100000,18.010000,2,133.330800
100k,200,h,13,100000,20.550000,3,137.823726
100k,200,h,14,100000,18.300000,2,140.369048
100k,200,h,15,100000,3.650000,0,136.762814
100k,200,h,16,100000,21.390000,3,138.317970
100k,200,h,17,100000,10.400000,1,148.877547
100k,200,h,18,100000,18.020000,2,125.896835
100k,200,h,19,100000,10.320000,1,151.755307
100k,200,h,20,100000,10.440000,1,139.128159
100k,200,h,21,100000,10.560000,1,163.718401
100k,200,h,22,100000,8.680000,-1,157.068273
100k,200,h,23,100000,7.800000,-1,107.006795
100k,200,h,24,100000,17.560000,2,73.833805
100k,200,h,25,100000,13.680000,-1,105.088640
100k,200,h,26,100000,18.320000,2,137.108931
100k,200,h,27,100000,15.140000,-1,113.099891
100k,200,h,28,100000,11.640000,-1,136.106796
100k,200,h,29,100000,18.240000,2,123.446279
100k,200,h,30,100000,17.950000,2,133.071075
100k,200,h,31,100000,18.220000,2,126.513212
100k,200,h,32,100000,17.840000,2,132.295749
100k,200,h,33,100000,21.710000,3,152.177514
100k,200,h,34,100000,10.220000,1,148.874188
100k,200,h,35,100000,13.510000,-1,169.439444
100k,200,h,36,100000,3.200000,0,141.071727
100k,200,h,37,100000,5.490000,-1,133.769449
100k,200,h,38,100000,18.160000,2,144.756949
100k,200,h,39,100000,6.900000,-1,159.794232
100k,200,h,40,100000,4.000000,0,121.146450
100k,200,h,41,100000,9.860000,1,137.877178
100k,200,h,42,100000,7.800000,-1,150.108035
100k,200,h,43,100000,4.330000,0,130.154407
100k,200,h,44,100000,21.950000,3,126.270068
100k,200,h,45,100000,4.070000,0,150.200291
100k,200,h,46,100000,18.190000,2,137.790093
100k,200,h,47,100000,2.400000,-1,126.034321
100k,200,h,48,100000,10.220000,1,132.181598
100k,200,h,49,100000,4.040000,0,111.081493
1000k,200,h,0,100000,21.490000,3,140.378555
1000k,200,h,1,100000,22.280000,3,131.061300
1000k,200,h,2,100000,1.720000,-1,117.021431
1000k,200,h,3,100000,19.970000,-1,135.189423
1000k,200,h,4,100000,10.600000,1,137.988829
1000k,200,h,5,100000,21.550000,3,142.538033
1000k,200,h,6,100000,2.000000,-1,131.882303
1000k,200,h,7,100000,8.520000,-1,159.597321
1000k,200,h,8,100000,4.770000,0,141.269114
1000k,200,h,9,100000,4.700000,0,119.447877
1000k,200,h,10,100000,2.660000,0,176.814779
1000k,200,h,11,100000,15.210000,-1,139.553523
1000k,200,h,12,100000,20.540000,3,143.695131
1000k,200,h,13,100000,10.200000,1,150.589777
1000k,200,h,14,100000,8.300000,-1,138.516570
1000k,200,h,15,100000,21.570000,3,127.667094
1000k,200,h,16,100000,18.060000,2,136.544867
1000k,200,h,17,100000,21.630000,3,143.113714
1000k,200,h,18,100000,22.030000,3,136.320406
1000k,200,h,19,100000,21.720000,3,136.564390
1000k,200,h,20,100000,21.620000,3,132.230449
1000k,200,h,21,100000,6.370000,-1,169.165501
1000k,200,h,22,100000,4.150000,0,111.136939
1000k,200,h,24,100000,20.600000,3,144.079360
1000k,200,h,25,100000,10.840000,1,141.093876
1000k,200,h,26,100000,17.670000,2,132.346067
1000k,200,h,27,100000,2.040000,-1,160.756857
1000k,200,h,28,100000,17.200000,2,143.263666
1000k,200,h,29,100000,7.620000,-1,135.784816
1000k,200,h,31,100000,8.830000,-1,128.704695
1000k,200,h,32,100000,21.270000,3,158.885615
1000k,200,h,34,100000,3.860000,0,124.182243
1000k,200,h,35,100000,10.290000,1,170.177677
1000k,200,h,36,100000,20.590000,3,131.859522
1000k,200,h,37,100000,18.010000,2,132.875507
1000k,200,h,38,100000,4.220000,0,108.691159
1000k,200,h,39,100000,10.530000,1,185.971387
1000k,200,h,40,100000,22.070000,3,122.299709
1000k,200,h,41,100000,0.000000,-1,124.311710
1000k,200,h,42,100000,13.090000,-1,126.957404
1000k,200,h,43,100000,12.660000,-1,131.863782
1000k,200,h,44,100000,7.950000,-1,181.848812
1000k,200,h,45,100000,21.430000,3,154.927591
1000k,200,h,46,100000,20.010000,-1,144.388823
1000k,200,h,47,100000,17.860000,2,146.705367
1000k,200,h,48,100000,22.010000,3,144.601270
1000k,200,h,49,100000,18.270000,2,137.647616
8k,500,h,0,100000,4.010000,0,174.893798
8k,500,h,1,100000,17.840000,2,239.006651
8k,500,h,2,100000,8.550000,-1,255.701821
8k,500,h,3,100000,10.520000,1,247.633054
8k,500,h,4,100000,8.010000,-1,212.732691
8k,500,h,5,100000,8.690000,-1,233.982418
8k,500,h,6,100000,5.680000,-1,233.009097
8k,500,h,7,100000,8.440000,-1,218.863491
8k,500,h,8,100000,3.430000,0,217.021215
8k,500,h,10,100000,4.660000,0,216.608065
8k,500,h,11,100000,10.350000,1,242.537533
8k,500,h,12,100000,17.750000,2,216.934832
8k,500,h,13,100000,4.180000,0,198.886236
8k,500,h,14,100000,10.510000,1,220.446621
8k,500,h,15,100000,13.050000,-1,214.904640
8k,500,h,16,100000,20.350000,-1,208.854311
8k,500,h,17,100000,13.590000,-1,194.669986
8k,500,h,18,100000,20.660000,3,187.299860
8k,500,h,19,100000,9.350000,1,206.624161
8k,500,h,20,100000,2.070000,-1,238.193418
8k,500,h,21,100000,10.640000,1,246.020516
8k,500,h,22,100000,21.600000,3,220.271219
8k,500,h,23,100000,10.460000,1,245.635387
8k,500,h,24,100000,10.220000,1,243.987840
8k,500,h,25,100000,22.120000,3,232.508730
8k,500,h,26,100000,9.050000,-1,245.936920
8k,500,h,27,100000,10.470000,1,219.101470
8k,500,h,28,100000,6.010000,-1,251.727241
8k,500,h,29,100000,10.390000,1,279.126825
8k,500,h,30,100000,5.680000,-1,248.841202
8k,500,h,31,100000,21.680000,3,209.249235
8k,500,h,32,100000,10.380000,1,248.092049
8k,500,h,35,100000,4.080000,0,218.751271
8k,500,h,36,100000,10.810000,1,233.400753
8k,500,h,37,100000,8.710000,-1,246.128012
8k,500,h,38,100000,4.000000,0,207.367019
8k,500,h,39,100000,4.010000,0,179.297957
8k,500,h,40,100000,10.480000,1,256.069597
8k,500,h,41,100000,18.100000,2,217.301249
8k,500,h,42,100000,3.900000,0,183.324222
8k,500,h,43,100000,3.670000,0,214.923168
8k,500,h,44,100000,21.730000,3,209.456614
8k,500,h,46,100000,10.460000,1,240.838427
8k,500,h,47,100000,17.340000,2,215.688263
8k,500,h,48,100000,17.600000,2,213.671993
8k,500,h,49,100000,10.850000,1,241.745920
10k,500,h,0,100000,3.020000,0,212.106096
10k,500,h,1,100000,6.500000,-1,245.778841
10k,500,h,2,100000,3.490000,0,225.542968
10k,500,h,3,100000,3.140000,0,213.245113
10k,500,h,4,100000,6.000000,-1,220.399270
10k,500,h,5,100000,8.190000,-1,239.308561
10k,500,h,6,100000,17.650000,2,230.833380
10k,500,h,7,100000,10.220000,1,239.532617
10k,500,h,8,100000,17.960000,2,241.586545
10k,500,h,9,100000,3.090000,0,201.471006
10k,500,h,10,100000,10.250000,1,239.538526
10k,500,h,11,100000,20.990000,3,196.177776
10k,500,h,12,100000,17.990000,2,211.267272
10k,500,h,13,100000,7.720000,-1,234.989087
10k,500,h,14,100000,2.290000,-1,212.772433
10k,500,h,15,100000,22.210000,3,222.358816
10k,500,h,16,100000,4.530000,0,188.376053
10k,500,h,17,100000,21.410000,3,232.143341
10k,500,h,18,100000,5.690000,-1,209.002570
10k,500,h,19,100000,8.500000,-1,243.781061
10k,500,h,20,100000,8.740000,-1,236.023710
10k,500,h,21,100000,3.150000,0,204.930187
10k,500,h,22,100000,10.240000,1,244.293344
10k,500,h,23,100000,3.910000,0,221.332064
10k,500,h,24,100000,18.240000,2,219.036347
10k,500,h,25,100000,3.270000,0,206.021824
10k,500,h,26,100000,22.140000,3,161.445843
10k,500,h,27,100000,4.100000,0,221.505955
10k,500,h,28,100000,18.670000,2,115.281900
10k,500,h,29,100000,10.520000,1,250.646413
10k,500,h,30,100000,12.740000,-1,160.947108
10k,500,h,31,100000,19.600000,-1,216.231330
10k,500,h,32,100000,10.200000,1,236.311571
10k,500,h,33,100000,18.070000,2,206.486608
10k,500,h,34,100000,16.210000,-1,229.909574
10k,500,h,35,100000,10.340000,1,250.321799
10k,500,h,36,100000,8.510000,-1,249.367657
10k,500,h,37,100000,2.830000,0,226.815110
10k,500,h,38,100000,10.260000,1,238.351233
10k,500,h,39,100000,22.250000,3,211.847953
10k,500,h,40,100000,2.180000,-1,230.351432
10k,500,h,41,100000,21.340000,3,229.052102
10k,500,h,42,100000,10.370000,1,229.344597
10k,500,h,43,100000,8.720000,-1,247.921048
10k,500,h,44,100000,3.810000,0,196.844582
10k,500,h,45,100000,21.490000,3,194.818834
10k,500,h,46,100000,10.150000,1,242.421240
10k,500,h,47,100000,4.280000,0,206.607190
10k,500,h,48,100000,18.630000,2,224.921806
10k,500,h,49,100000,8.640000,-1,240.467437
100k,500,h,0,100000,17.940000,2,190.492469
100k,500,h,1,100000,2.430000,-1,184.370002
100k,500,h,2,100000,10.010000,1,227.760444
100k,500,h,3,100000,6.520000,-1,218.472098
100k,500,h,4,100000,13.340000,-1,192.858283
100k,500,h,5,100000,7.560000,-1,237.133063
100k,500,h,6,100000,10.670000,1,228.376263
100k,500,h,7,100000,4.130000,0,214.365519
100k,500,h,8,100000,22.240000,3,177.602766
100k,500,h,9,100000,8.600000,-1,241.345712
100k,500,h,10,100000,8.820000,-1,206.717630
100k,500,h,11,100000,10.770000,1,226.680767
100k,500,h,12,100000,3.840000,0,200.062723
100k,500,h,13,100000,3.660000,0,258.187365
100k,500,h,14,100000,10.140000,1,229.580394
100k,500,h,15,100000,0.000000,-1,208.970551
100k,500,h,16,100000,14.730000,-1,208.908857
100k,500,h,17,100000,4.200000,0,192.147625
100k,500,h,18,100000,10.760000,1,235.313879
100k,500,h,19,100000,5.550000,-1,181.473333
100k,500,h,20,100000,10.820000,1,228.492563
100k,500,h,21,100000,10.080000,1,245.766115
100k,500,h,22,100000,0.000000,-1,197.571988
100k,500,h,23,100000,10.470000,1,218.325333
100k,500,h,24,100000,20.860000,3,205.959599
100k,500,h,25,100000,22.390000,3,211.175129
100k,500,h,27,100000,4.350000,0,185.397609
100k,500,h,28,100000,8.510000,-1,221.190419
100k,500,h,29,100000,18.150000,2,210.938953
100k,500,h,30,100000,9.040000,-1,256.765676
100k,500,h,31,100000,16.160000,-1,196.639534
100k,500,h,32,100000,8.770000,-1,241.625249
100k,500,h,33,100000,22.390000,3,195.708418
100k,500,h,34,100000,9.830000,1,228.355085
100k,500,h,35,100000,3.940000,0,192.936324
100k,500,h,36,100000,10.820000,1,231.081445
100k,500,h,37,100000,8.650000,-1,226.662899
100k,500,h,38,100000,3.330000,0,204.412579
100k,500,h,39,100000,21.880000,3,208.081210
100k,500,h,40,100000,15.490000,-1,207.730236
100k,500,h,41,100000,7.750000,-1,197.666325
100k,500,h,42,100000,4.250000,0,202.657977
100k,500,h,43,100000,9.000000,-1,229.161410
100k,500,h,44,100000,3.520000,0,190.660145
100k,500,h,45,100000,6.440000,-1,217.656757
100k,500,h,46,100000,21.940000,3,176.677024
100k,500,h,47,100000,10.310000,1,229.892561
100k,500,h,49,100000,10.320000,1,225.810291
1000k,500,h,0,100000,10.510000,1,242.129017
1000k,500,h,1,100000,10.550000,1,224.313456
1000k,500,h,2,100000,22.300000,3,206.282832
1000k,500,h,3,100000,2.890000,0,230.447990
1000k,500,h,4,100000,3.480000,0,206.697867
1000k,500,h,6,100000,8.830000,-1,238.454141
1000k,500,h,7,100000,9.230000,1,184.617985
1000k,500,h,8,100000,0.000000,-1,187.007221
1000k,500,h,10,100000,10.160000,1,242.646833
1000k,500,h,11,100000,22.040000,3,197.601229
1000k,500,h,12,100000,10.390000,1,232.715652
1000k,500,h,13,100000,10.310000,1,231.948605
1000k,500,h,15,100000,17.330000,2,201.081680
1000k,500,h,16,100000,3.250000,0,187.667930
1000k,500,h,17,100000,13.270000,-1,188.455054
1000k,500,h,18,100000,3.680000,0,203.222840
1000k,500,h,19,100000,4.440000,0,181.720596
1000k,500,h,20,100000,9.030000,-1,222.865320
1000k,500,h,21,100000,9.210000,1,216.654405
1000k,500,h,22,100000,3.640000,0,166.390427
1000k,500,h,23,100000,8.700000,-1,221.486111
1000k,500,h,24,100000,21.690000,3,188.249762
1000k,500,h,25,100000,7.570000,-1,226.164030
1000k,500,h,26,100000,21.110000,3,215.340268
1000k,500,h,27,100000,2.000000,-1,192.004615
1000k,500,h,28,100000,4.210000,0,201.363344
1000k,500,h,29,100000,21.440000,3,205.711133
1000k,500,h,30,100000,3.130000,0,207.639153
1000k,500,h,31,100000,10.720000,1,196.678196
1000k,500,h,33,100000,6.390000,-1,235.517525
1000k,500,h,34,100000,10.410000,1,223.098674
1000k,500,h,36,100000,10.530000,1,253.105284
1000k,500,h,37,100000,9.170000,-1,215.315529
1000k,500,h,38,100000,10.530000,1,221.279910
1000k,500,h,39,100000,10.750000,1,232.646852
1000k,500,h,40,100000,21.070000,3,199.026899
1000k,500,h,41,100000,0.000000,-1,240.023691
1000k,500,h,42,100000,10.400000,1,226.004539
1000k,500,h,43,100000,10.340000,1,248.040378
1000k,500,h,44,100000,1.510000,-1,175.342789
1000k,500,h,45,100000,3.940000,0,198.872801
1000k,500,h,46,100000,21.240000,3,194.121202
1000k,500,h,47,100000,20.080000,-1,203.837180
